URL,Route,Page_Type,Primary_Intent,Current_Status,Recommended_Status,Official_Source_Required,Last_Reviewed,CTA,Internal_Links,Owner,Notes
"https://pmstructure.com/","/","Homepage","Brand + PMP 2026 flagship","Implemented","Keep","No","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","T-167 reviewed"
"https://pmstructure.com/certifications","/certifications","Directory","Certification discovery","Implemented","Keep","No","18 June 2026","Compare Certification Pathways","/certifications/pmp","Mahaa","T-167"
"https://pmstructure.com/certifications/pmp","/certifications/pmp","Commercial","PMP 2026 readiness conversion","Implemented","Enhance","Partial","18 June 2026","Get My PMP 2026 Roadmap","/topics/pmp-exam-2026; /answers/is-the-pmp-exam-changing-in-2026; /faq","Mahaa","Money page"
"https://pmstructure.com/topics/pmp-exam-2026","/topics/pmp-exam-2026","Topic hub","PMP 2026 authority guide","Implemented","Enhance","Yes","18 June 2026","View PMP 2026 pathway","/certifications/pmp; /faq","Mahaa","Authority hub"
"https://pmstructure.com/pmp-exam-2026","/pmp-exam-2026","Cluster pillar","PMP 2026 deep guide","Implemented","Keep","Yes","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Mahaa","Cluster pillar"
"https://pmstructure.com/pmp","/pmp","Hub","PMP preparation hub","Implemented","Keep","Partial","18 June 2026","Readiness diagnostic","/certifications/pmp","Mahaa","T-167"
"https://pmstructure.com/answers","/answers","Index","Answer library index","Implemented","Keep","No","18 June 2026","Browse answers","/certifications/pmp","Mahaa","T-167"
"https://pmstructure.com/answers/is-the-pmp-exam-changing-in-2026","/answers/is-the-pmp-exam-changing-in-2026","Direct answer","Is PMP exam changing 2026","Implemented","Enhance","Yes","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026; /faq","Mahaa","P0 answer"
"https://pmstructure.com/faq","/faq","FAQ","Trust and objections","Implemented","Enhance","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","T-167"
"https://pmstructure.com/answers/when-does-the-new-pmp-exam-start","/answers/when-does-the-new-pmp-exam-start","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/should-i-take-pmp-before-8-july-2026","/answers/should-i-take-pmp-before-8-july-2026","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/should-i-prepare-for-new-pmp-after-9-july-2026","/answers/should-i-prepare-for-new-pmp-after-9-july-2026","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-the-pmp-business-environment-domain","/answers/what-is-the-pmp-business-environment-domain","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/how-to-prepare-for-pmp-in-2026","/answers/how-to-prepare-for-pmp-in-2026","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-pmp-readiness","/answers/what-is-pmp-readiness","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/how-long-does-pmp-preparation-take","/answers/how-long-does-pmp-preparation-take","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-pmp-scenario-practice","/answers/what-is-pmp-scenario-practice","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-the-pmp-exam-content-outline","/answers/what-is-the-pmp-exam-content-outline","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/is-pm-structure-an-official-pmi-atp","/answers/is-pm-structure-an-official-pmi-atp","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/does-pm-structure-guarantee-pmp-success","/answers/does-pm-structure-guarantee-pmp-success","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/how-does-regional-pricing-work-for-pmp","/answers/how-does-regional-pricing-work-for-pmp","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/when-do-i-get-lms-access-after-pmp-enrollment","/answers/when-do-i-get-lms-access-after-pmp-enrollment","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-the-difference-between-pmp-foundation-professional-and-mastery","/answers/what-is-the-difference-between-pmp-foundation-professional-and-mastery","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-are-the-pmp-eligibility-requirements","/answers/what-are-the-pmp-eligibility-requirements","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-the-pmp-people-domain","/answers/what-is-the-pmp-people-domain","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-the-pmp-process-domain","/answers/what-is-the-pmp-process-domain","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-pmp-mock-exam-practice","/answers/what-is-pmp-mock-exam-practice","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/how-do-i-enroll-in-pmp-on-pm-structure","/answers/how-do-i-enroll-in-pmp-on-pm-structure","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-project-management-certification","/answers/what-is-project-management-certification","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-prince2-certification","/answers/what-is-prince2-certification","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-lean-six-sigma-green-belt","/answers/what-is-lean-six-sigma-green-belt","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/how-many-pmp-mock-exams-should-i-take","/answers/how-many-pmp-mock-exams-should-i-take","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-are-the-pmp-2026-domain-weights","/answers/what-are-the-pmp-2026-domain-weights","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/current-pmp-exam-vs-new-pmp-exam","/answers/current-pmp-exam-vs-new-pmp-exam","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/which-pm-structure-pmp-pathway-should-i-choose","/answers/which-pm-structure-pmp-pathway-should-i-choose","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-pmp-foundation","/answers/what-is-pmp-foundation","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-pmp-professional","/answers/what-is-pmp-professional","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-pmp-mastery","/answers/what-is-pmp-mastery","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/is-the-new-pmp-exam-harder","/answers/is-the-new-pmp-exam-harder","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/should-i-rush-pmp-before-july-2026","/answers/should-i-rush-pmp-before-july-2026","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/can-i-prepare-for-pmp-in-30-days","/answers/can-i-prepare-for-pmp-in-30-days","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-is-the-best-pmp-study-plan","/answers/what-is-the-best-pmp-study-plan","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/answers/what-should-i-do-after-a-low-pmp-mock-score","/answers/what-should-i-do-after-a-low-pmp-mock-score","Direct answer","Informational","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","answers/pages.ts"
"https://pmstructure.com/topics/pmp-exam-preparation","/topics/pmp-exam-preparation","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/pmp-readiness","/topics/pmp-readiness","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/pmp-scenario-practice","/topics/pmp-scenario-practice","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/business-environment-domain","/topics/business-environment-domain","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/value-delivery","/topics/value-delivery","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/ai-in-project-management","/topics/ai-in-project-management","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/sustainability-in-project-management","/topics/sustainability-in-project-management","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/agile-project-management","/topics/agile-project-management","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/hybrid-project-management","/topics/hybrid-project-management","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/project-governance","/topics/project-governance","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/project-management-certification","/topics/project-management-certification","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/risk-management","/topics/risk-management","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/pmi-rmp-preparation","/topics/pmi-rmp-preparation","Secondary hub","Informational hub","Implemented","Secondary support","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","T-151 secondary"
"https://pmstructure.com/topics/prince2-preparation","/topics/prince2-preparation","Secondary hub","Informational hub","Implemented","Secondary support","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","T-151 secondary"
"https://pmstructure.com/topics/six-sigma-preparation","/topics/six-sigma-preparation","Secondary hub","Informational hub","Implemented","Secondary support","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","T-151 secondary"
"https://pmstructure.com/topics/exam-readiness","/topics/exam-readiness","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/pmp-domain-weighting","/topics/pmp-domain-weighting","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/pmp-people-domain","/topics/pmp-people-domain","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/pmp-process-domain","/topics/pmp-process-domain","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/stakeholder-engagement","/topics/stakeholder-engagement","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/project-delivery-readiness","/topics/project-delivery-readiness","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/mock-exam-review","/topics/mock-exam-review","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/pmp-study-plan","/topics/pmp-study-plan","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/predictive-project-management","/topics/predictive-project-management","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/topics/project-value-delivery","/topics/project-value-delivery","Topic hub","Informational hub","Implemented","Keep","Partial","18 June 2026","Varies","/certifications/pmp","Mahaa","hubs.ts"
"https://pmstructure.com/pmp-faq","/pmp-faq","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-current-vs-new-exam","/pmp-current-vs-new-exam","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-exam-timeline-2026","/pmp-exam-timeline-2026","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-before-8-july-2026","/pmp-before-8-july-2026","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-after-9-july-2026","/pmp-after-9-july-2026","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-study-plan-2026","/pmp-study-plan-2026","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-readiness-diagnostic","/pmp-readiness-diagnostic","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-mock-exam","/pmp-mock-exam","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-foundation","/pmp-foundation","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-professional","/pmp-professional","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/pmp-mastery","/pmp-mastery","PMP cluster","PMP 2026 support","Implemented","Keep","Partial","18 June 2026","Get My PMP 2026 Roadmap","/certifications/pmp","Mahaa","Cluster"
"https://pmstructure.com/certifications/prince2-practitioner","/certifications/prince2-practitioner","Certification","PRINCE2 Practitioner pathway","Implemented","Secondary / waitlist","Partial","18 June 2026","Join Waitlist / Compare","/certifications/compare; /certifications/pmp","Mahaa","T-151 secondary"
"https://pmstructure.com/certifications/lss-yellow","/certifications/lss-yellow","Certification","Lean Six Sigma Yellow pathway","Implemented","Secondary / waitlist","Partial","18 June 2026","Join Waitlist / Compare","/certifications/compare; /certifications/pmp","Mahaa","T-151 secondary"
"https://pmstructure.com/certifications/lss-black","/certifications/lss-black","Certification","Lean Six Sigma Black pathway","Implemented","Secondary / waitlist","Partial","18 June 2026","Join Waitlist / Compare","/certifications/compare; /certifications/pmp","Mahaa","T-151 secondary"
"https://pmstructure.com/certifications/pmi-rmp","/certifications/pmi-rmp","Certification","PMI-RMP pathway","Implemented","Secondary","Partial","18 June 2026","Join Waitlist / Compare","/certifications/compare; /certifications/pmp","Mahaa","T-151 secondary"
"https://pmstructure.com/certifications/pgmp","/certifications/pgmp","Certification","PgMP pathway","Implemented","Secondary / waitlist","Partial","18 June 2026","Join Waitlist / Compare","/certifications/compare; /certifications/pmp","Mahaa","T-151 secondary"
